video_id,title,word_count,sent_count,avg_sent_len,unique_ratio,entropy,top_trigram_rep,recycled_signal_similarity,recycled_penalty,fear_hits,promo_hits,hype_hits,generic_advice_hits,evidence_hits,structure_hits,qmark_count,exclam_count,you_count,i_count,modal_count,imperative_count,content_density_proxy,signal_level,noise_superclass,noise_subtype,primary_topic,takeaway_clarity_1_5,insight_depth_1_5,snr_score,short_reasoning,notes
aircAruvnKk,But what is a neural network? | Deep learning chapter 1,3363,131,25.671755725190838,0.22807017543859648,8.063066248872238,0.0020827134781315083,0.2825718276095599,0.0,0,1,0,0,18,16,14,1,61,40,137,12,1.0110020814748737,HIGH,SIGNAL,technical_ml_education,machine_learning,4,5,4.5,"Conceptual, math-backed intro to neural networks with clear structure and minimal fluff.",Anchor ML signal example.
Unzc731iCUY,How to Speak,8770,613,14.30668841761827,0.16659064994298745,8.384496919355126,0.0011405109489051094,0.3313999099221179,0.0,2,3,3,0,43,44,71,1,356,256,388,94,0.9920182440136829,HIGH,SIGNAL,communication_skills,communication,4,4,4.0,Structured lecture on how to speak effectively with concrete techniques and examples.,High-signal soft-skill education.
qp0HIF3SfI4,How Great Leaders Inspire Action | Simon Sinek | TED,3037,211,14.393364928909953,0.24201514652617714,8.192365815362297,0.0032948929159802307,0.32708706157463335,0.03270870615746333,0,24,0,0,18,9,28,0,98,33,89,41,0.8890352321369773,MID,SIGNAL,leadership_motivation,leadership,3,3,3.0,Presents the why-how-what leadership model with stories, strong ideas but lighter on step-by-step execution.
arj7oStGLkU,Inside the Mind of a Master Procrastinator | Tim Urban | TED,2288,133,17.203007518796994,0.2784090909090909,8.08731055016128,0.003499562554680665,0.20526798765833643,0.11631852633972398,8,0,1,0,8,5,13,5,32,65,78,16,0.5681818181818182,MID,SIGNAL,self_improvement,productivity,3,2,2.5,Explains procrastination psychology with relatable stories and some practical reflection prompts.,
tXLoBs0ipsI,"It took 20 years, but we finally found it",3085,178,17.331460674157302,0.29692058346839545,8.524508703799826,0.001621796951021732,0.21670735886507186,0.0,0,5,1,0,35,14,15,0,18,10,96,7,1.5883306320907615,HIGH,SIGNAL,science_explainer,astrophysics,4,5,4.5,Science-focused explanation of a long-term discovery with clear exposition and evidence.,
oONma_591PY,think before coming to USA (2024),3167,1,3167.0,0.20966214082728135,7.853807701737522,0.0069510268562401265,0.3502840900502706,0.0,2,4,1,1,21,10,0,0,228,78,183,22,0.9788443321755604,MID,FEAR,immigration_anxiety,immigration_careers,3,2,2.5,"Warns viewers about the downsides of moving to the US, mixing real constraints with a heavy cautionary tone.",
AZN4DrVYWPU,7 Ways To Make Money With AI In 2025! 🤑,1737,112,15.508928571428571,0.31375935521013243,7.9229765561243015,0.00345821325648415,0.30805006285842446,0.18483003771505466,0,4,0,0,11,1,4,0,95,11,91,17,0.690846286701209,NOISE,PROMO,get_rich_quick_ai,online_business,1,1,1.0,Lists multiple ways to 'make money with AI' with hype and limited depth or concrete execution detail.,
1X8sN-DIlbw,Project Stargate Explained & How You Can Remain Relevant in the AI Era,945,1,945.0,0.3925925925925926,7.535023038336154,0.008483563096500531,0.3855966069272218,0.23135796415633308,0,0,0,0,5,7,0,0,14,4,51,3,1.2698412698412698,MID,SIGNAL,ai_career_strategy,future_of_work,3,3,3.0,"Explains a large AI initiative and ties it to how individuals can stay relevant, with some concrete advice.",
uB9yZenVLzg,This video will change your mind about the AI hype,2885,1,2885.0,0.27902946273830154,8.402186886234853,0.001734304543877905,0.23657441053662173,0.0,1,2,3,0,28,13,0,0,43,82,120,18,1.4211438474870017,MID,SIGNAL,ai_hype_critique,ai_trends,3,4,3.5,Critically examines AI hype and encourages more measured expectations with some reasoning and examples.,
2V7yPrxJ8Ck,The LeetCode Fallacy,953,2,476.5,0.36096537250786986,7.5804921650595585,0.004206098843322818,0.328065963630852,0.21871064242056804,0,1,1,0,6,4,0,0,31,15,49,7,1.049317943336831,MID,SIGNAL,career_advice,software_careers,3,4,3.5,Discusses over-focusing on LeetCode and suggests broader career strategies with moderate concreteness.,
8wysIxzqgPI,My Brain after 569 Leetcode Problems,1680,91,18.46153846153846,0.2988095238095238,7.852662256217666,0.004171632896305125,0.22044316121289517,0.07348105373763174,0,3,0,2,16,4,1,0,58,83,74,10,1.1904761904761905,MID,SIGNAL,leetcode_strategy,software_careers,3,4,3.5,Personal narrative about grinding LeetCode, more reflective and anecdotal than instructional.
VUVpTZVa7Ls,Count Vowels Permutation - Dynamic Programming - Leetcode 1220 - Python,2253,3,751.0,0.18508655126498003,7.365348667478556,0.008440693025322079,0.3100320472800325,0.12401281891201299,0,0,0,0,13,5,0,0,20,32,107,14,0.7989347536617843,HIGH,SIGNAL,dp_tutorial,algorithms,4,5,4.5,Step-by-step DP solution walkthrough with code and reasoning directly usable for practice.,Algorithm tutorial anchor.
q5ANAl8Z458,132 Pattern - Leetcode 456 - Python,2286,157,14.560509554140127,0.16360454943132108,7.180076949961679,0.0070052539404553416,0.3666568248615738,0.0,2,1,0,0,18,17,10,0,18,23,128,10,1.531058617672791,HIGH,SIGNAL,algorithms_tutorial,algorithms,4,5,4.5,Explains the 132 pattern problem and solution logic in a directly applicable way.,
xo7XrRVxH8Y,8 patterns to solve 80% Leetcode problems,1663,1,1663.0,0.26217678893565843,7.604719170827964,0.007826610475617099,0.3719738700814373,0.07439477401628744,0,0,0,0,19,5,0,0,62,12,96,11,1.4431749849669273,HIGH,SIGNAL,interview_patterns,algorithms,4,5,4.5,Provides reusable problem-solving patterns covering a large portion of interview questions.,High-yield meta-tutorial.
xauCQpnbNAM,Russell's Paradox - A Ripple in the Foundations of Mathematics,2354,112,21.017857142857142,0.29269328802039085,8.045820191392602,0.006377551020408163,0.22764958365232163,0.02276495836523216,1,0,1,0,22,5,12,0,26,20,67,2,1.1469838572642312,HIGH,SIGNAL,math_foundations,mathematics,4,5,4.5,"Explains Russell's paradox with historical and conceptual clarity, low fluff.",
2MCt3AxCL6I,The Dark Sky Paradox - A Never-Ending Universe,1975,128,15.4296875,0.29822784810126585,8.042890837190876,0.0030410542321338066,0.3147759583849141,0.08394025556931045,2,4,0,0,13,9,18,0,21,16,52,6,1.1139240506329113,HIGH,SIGNAL,cosmology_paradox,astrophysics,4,5,4.5,Explores a cosmological paradox in depth, highly informative but not practically actionable.
QxeevqNAVPA,The future of job market with AI #AIWithAish,626,55,11.381818181818181,0.5159744408945687,7.72390063347577,0.003205128205128205,0.44692995405925506,0.3277486329767871,0,0,0,0,5,3,2,0,20,3,18,4,1.2779552715654952,MID,SIGNAL,ai_job_market,future_of_work,3,2,2.5,Discusses expected AI impact on jobs with some guidance on skills and adaptation.,
C3LdrX1Cd84,H1B New Proposed Rule Will DESTROY Entry-Level H1B Jobs | Explained By Lawyer,2123,137,15.496350364963504,0.2520018841262365,7.825228777367443,0.0023573785950023575,0.34493456511879955,0.16096946372210647,0,1,0,0,12,4,26,0,39,36,104,10,0.753650494583137,MID,FEAR,h1b_policy_fear,immigration,3,2,2.5,"Legal explanation of H1B rule changes framed in a strongly negative, high-stakes tone.",
J5Ud_RdDtMw,Brainrot is Ruining You | Documentary Film,3057,239,12.790794979079498,0.3549231272489369,8.746026208002839,0.0019639934533551553,0.23647348369747762,0.01576489891316517,3,2,2,0,21,7,20,0,109,31,111,20,0.9159306509649985,HIGH,SIGNAL,media_psychology,digital_wellbeing,4,4,4.0,"Documentary-style analysis of 'brainrot' content and its effects, with some suggestions for change.",
PLSDUsi4vY8,Why Your 9-5 Job Won't Exist in 10 Years | The Future Of Work,2994,1,2994.0,0.3079492317969272,8.521256197659092,0.00267379679144385,0.28998144662383013,0.13532467509112073,0,2,3,0,10,6,0,0,85,60,105,26,0.5344021376085505,MID,FEAR,future_of_work_fear,future_of_work,3,2,2.5,"Argues that traditional jobs may disappear, mixing future-of-work insights with a doomsday framing.",
NcxDPjhDlgg,You Could Become a Millionaire in 3-5 Years,6035,1,6035.0,0.20132560066280034,8.48687072877863,0.0013260401127134097,0.3410149796858042,0.0,1,0,0,0,28,22,0,0,295,220,250,57,0.8285004142502072,NOISE,PROMO,get_rich_quick,personal_finance,1,1,1.0,"Promises millionaire outcomes in a short time span with broad, under-specified advice.",
Y6qPdbikZcY,The GREATEST Nofap Benefit (I WAS WRONG!),1029,1,1029.0,0.37317784256559766,7.696510294978847,0.0029211295034079843,0.43977641148084573,0.3371619154686484,0,0,0,0,2,5,0,0,32,49,27,6,0.6802721088435374,MID,GENERIC_NOISE,self_help_nofap,self_improvement,3,3,3.0,Discusses perceived benefits of nofap mostly through personal anecdote and broad claims.,
9R_BCfEipZs,Who did the Führer Trust? Hitler's Inner Circle,1884,102,18.470588235294116,0.428343949044586,8.401387841668004,0.003188097768331562,0.21452910301741646,0.18592522261509425,3,5,5,0,1,3,0,0,2,2,53,2,0.21231422505307856,HIGH,SIGNAL,ww2_history,history,4,5,4.5,Historical documentary on Hitler's inner circle with detailed narrative and context.,
