feature,coef
structure_hits,0.5354432055369857
hype_hits,0.3617751760980338
top_trigram_rep,0.3321009140284567
word_count,0.2646661614893416
qmark_count,0.14525372647825494
recycled_signal_similarity,0.12642989343772923
entropy,0.06772493322188046
evidence_hits,0.05671559556064145
i_count,0.041508315295057885
generic_advice_hits,0.03397606377170777
content_density_proxy,-0.011023016445470988
fear_hits,-0.020881369408017412
unique_ratio,-0.08008161029604947
sent_count,-0.14321307841393946
promo_hits,-0.159866016456724
exclam_count,-0.1794054463955109
imperative_count,-0.19781777029372227
recycled_penalty,-0.4344943697565505
modal_count,-0.4372805482616558
you_count,-0.46176071599437224
avg_sent_len,-0.4841985735619068
