feature,coef
content_density_proxy,0.06021911261338901
hype_hits,0.046452665791011497
top_trigram_rep,0.04427015552408133
sent_count,0.041345891001588045
qmark_count,0.03361354690206916
evidence_hits,0.031823643736288404
structure_hits,0.029900305079954018
fear_hits,0.0012750641661259767
word_count,-0.0022521967660876782
promo_hits,-0.011974633631009526
modal_count,-0.012401833597320793
generic_advice_hits,-0.012673288432096882
entropy,-0.017042641209993097
unique_ratio,-0.01999398107389528
exclam_count,-0.024766931452566636
imperative_count,-0.04127782292256854
i_count,-0.04482046435457766
recycled_signal_similarity,-0.04700455169707442
recycled_penalty,-0.05335037074526541
you_count,-0.06289655690540251
avg_sent_len,-0.08007781422571116
